Domain,Provider,Provider_Role,Provider_Subrole,Annotation_Confidence,Annotation_Note,Cluster_IDs,Num_Clusters,Num_Vendors_Observed,Num_Devices_Observed
25-courier.push.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,High,Apple Push Notification service endpoint,C0042|C0059,2,2,3
ad.doubleclick.net,Google,Foundational Cloud Provider,Application-level service provider,High,Google advertising service endpoint,C0060,1,2,2
aidevice.cn-hangzhou.log.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,Application-level service provider,High,Aliyun log service endpoint for AI device,C0067,1,2,2
android.clients.google.com,Google,Foundational Cloud Provider,Application-level service provider,High,Android/Google client service endpoint,C0032,1,2,4
api-global.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix API endpoint,C0010|C0015|C0018|C0023|C0024|C0031|C0041|C0054|C0057|C0058,10,5,8
api.amazon.com,Amazon,Foundational Cloud Provider,Application-level service provider,High,Amazon account/API/service endpoint,C0005|C0014|C0037|C0060,4,4,17
api.amazonalexa.com,Amazon,IoT Platform Provider,,High,Alexa API endpoint,C0006,1,3,14
api.us.xiaoyi.com,Yi,IoT Platform Provider,,High,YI camera/device cloud API endpoint,C0052,1,2,3
api.weathercn.com,Weather China,Foundational Cloud Provider,Application-level service provider,Medium,Weather application service endpoint,C0055,1,2,2
apicache.vudu.com,Vudu,Foundational Cloud Provider,Content service provider,High,Vudu video/content service endpoint,C0045,1,2,3
appboot.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix application boot/config endpoint,C0024|C0031|C0041|C0054|C0057,5,3,5
arcus-uswest.amazon.com,Amazon,IoT Platform Provider,,High,Amazon device/Alexa cloud endpoint,C0001|C0003|C0007|C0014|C0025,5,3,18
assets.nflxext.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix static asset endpoint,C0057,1,2,2
avs-alexa-4-na.amazon.com,Amazon,IoT Platform Provider,,High,Alexa Voice Service endpoint,C0025,1,2,5
bag.itunes.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,High,Apple/iTunes service configuration endpoint,C0035,1,2,4
business.smartcamera.api.io.mi.com,Xiaomi,IoT Platform Provider,,High,Xiaomi smart camera cloud API endpoint,C0029|C0063,2,3,5
captive.apple.com,Apple,Foundational Cloud Provider,Network infrastructure provider,High,Apple captive portal/connectivity check endpoint; retained under strict network-infrastructure criteria,C0059,1,2,2
cdn-0.nflximg.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix image/content CDN endpoint,C0027|C0031|C0041|C0054,4,3,5
cdn.cnbj2.fds.api.mi-img.com,Xiaomi,Foundational Cloud Provider,Content service provider,Medium,Xiaomi static/image content storage endpoint; treated as content/resource service rather than network infrastructure,C0068,1,2,2
clients3.google.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google client service/update endpoint,C0009|C0013|C0022|C0032|C0056,5,4,9
clients4.google.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google client service/update endpoint,C0013|C0022|C0032|C0056,4,2,7
configuration.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,High,Apple device/service configuration endpoint,C0033|C0042|C0059,3,2,4
connectivitycheck.gstatic.com,Google,Foundational Cloud Provider,Network infrastructure provider,High,Connectivity check endpoint; retained under strict network-infrastructure criteria,C0013|C0022|C0032|C0056,4,2,7
connectivitycheck.platform.hicloud.com,Huawei,Foundational Cloud Provider,Network infrastructure provider,High,Huawei connectivity check endpoint; retained under strict network-infrastructure criteria,C0055,1,2,2
customerevents.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix telemetry/events endpoint associated with content service,C0018|C0054|C0057|C0058,4,4,6
data.hicloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,Medium,Huawei cloud data/service endpoint,C0039|C0061,2,3,4
dcape-na.amazon.com,Amazon,IoT Platform Provider,,Medium,Amazon device cloud/provisioning endpoint,C0004|C0019,2,3,17
det-ta-g7g.amazon.com,Amazon,IoT Platform Provider,,Low,Likely Amazon device/platform telemetry endpoint; review recommended,C0037,1,2,4
device-messaging-na.amazon.com,Amazon,IoT Platform Provider,,High,Amazon device messaging endpoint,C0014,1,2,7
device-metrics-us.amazon.com,Amazon,IoT Platform Provider,,High,Amazon device metrics/telemetry endpoint,C0002|C0007|C0014|C0016|C0019|C0025,6,3,18
dp-gw-na.amazon.com,Amazon,IoT Platform Provider,,Medium,Amazon device platform gateway,C0003|C0007,2,3,17
esdk-ffl.spotify.com,Spotify,Foundational Cloud Provider,Content service provider,High,Spotify SDK/content service endpoint,C0065,1,2,2
google.com,Google,Foundational Cloud Provider,Application-level service provider,Medium,Generic Google service endpoint,C0064,1,2,2
grs.dbankcloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,Medium,Huawei global route/service discovery endpoint; treated as application/service backend rather than pure network infrastructure,C0055,1,2,2
gsa.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,Medium,Apple service endpoint,C0034|C0042|C0059,3,2,4
hwid-drcn.platform.hicloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,High,Huawei ID/account service endpoint,C0055,1,2,2
i.ytimg.com,Google/YouTube,Foundational Cloud Provider,Content service provider,High,YouTube image/content endpoint,C0048,1,2,3
ichnaea.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,Medium,Netflix service endpoint; review if needed,C0018|C0054|C0057|C0058,4,4,6
img01.mgo-images.com,Fandango/Vudu,Foundational Cloud Provider,Content service provider,Medium,Movie/content image service endpoint,C0054,1,2,2
iot-auth-global.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,IoT middleware provider,High,Alibaba Cloud IoT authentication endpoint,C0044,1,3,3
iot102.music.126.net,NetEase Cloud Music,Foundational Cloud Provider,Content service provider,Medium,NetEase music/content service endpoint,C0069,1,2,2
iotx-ota.oss-cn-shanghai.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,IoT middleware provider,High,Alibaba IoT OTA resource endpoint,C0043,1,3,3
iotx-vision-business.cn-shanghai.log.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,Application-level service provider,High,Aliyun log service endpoint for IoT vision,C0036|C0043,2,4,4
iphone-ld.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,Medium,Apple device/location/service endpoint; review if needed,C0059,1,2,2
ipv4.connman.net,ConnMan,Foundational Cloud Provider,Network infrastructure provider,High,Connectivity check endpoint; retained under strict network-infrastructure criteria,C0050,1,2,3
isure6.stream.qqmusic.qq.com,Tencent Music,Foundational Cloud Provider,Content service provider,High,QQ Music streaming endpoint,C0053,1,2,3
link-vision-picture-sh.oss-cn-shanghai.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,Application-level service provider,High,Aliyun OSS object storage for link vision images,C0028|C0036|C0043,3,5,5
m.media-amazon.com,Amazon,Foundational Cloud Provider,Content service provider,High,Amazon media/static content endpoint,C0017|C0060,2,3,7
mesu.apple.com,Apple,Foundational Cloud Provider,Application-level service provider,High,Apple software update endpoint,C0020|C0033|C0034|C0035|C0042|C0059,6,2,6
metrics1-drcn.dt.dbankcloud.cn,Huawei,Foundational Cloud Provider,Application-level service provider,High,Huawei metrics/telemetry endpoint,C0055,1,2,2
metrics1.data.hicloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,High,Huawei metrics/telemetry endpoint,C0055,1,2,2
mqtt.wizconnected.cn,Wiz,IoT Platform Provider,,High,Wiz smart lighting MQTT endpoint,C0066,1,2,2
mtalk.google.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google mobile messaging/push endpoint,C0013|C0022|C0032|C0056,4,2,7
nrdp50-appboot.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix app boot endpoint,C0058,1,2,2
oauth-login-drcn.platform.dbankcloud.com,Huawei,Foundational Cloud Provider,Application-level service provider,High,Huawei OAuth/login endpoint,C0055,1,2,2
occ-0-162-987.1.nflxso.net,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix Open Connect/content delivery endpoint,C0041,1,2,3
ot.io.mi.com,Xiaomi,IoT Platform Provider,,Medium,Xiaomi IoT/OTA endpoint,C0040,1,3,4
play.google.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google Play service endpoint,C0026,1,2,5
play.googleapis.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google Play API endpoint,C0022|C0056,2,2,5
processor.smartcamera.api.io.mi.com,Xiaomi,IoT Platform Provider,,High,Xiaomi smart camera processing API endpoint,C0063,1,2,2
prod.amcs-tachyon.com,Amazon,IoT Platform Provider,,High,User-reviewed: Amazon device/IoT service endpoint.,C0008,1,2,12
pubads.g.doubleclick.net,Google,Foundational Cloud Provider,Application-level service provider,High,Google advertising service endpoint,C0023|C0031|C0041|C0054,4,2,5
public.iot-as-mqtt.cn-shanghai.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,IoT middleware provider,High,Alibaba Cloud IoT MQTT endpoint,C0038|C0044,2,4,4
qacloudapi.jooancloud.com,Jooan,IoT Platform Provider,,High,Jooan camera/device cloud API endpoint,C0046|C0062,2,3,3
qalink-cloud-log.oss-cn-shanghai.aliyuncs.com,Alibaba Cloud,Foundational Cloud Provider,Application-level service provider,High,Aliyun OSS/log resource endpoint,C0046|C0062,2,3,3
qiaoan-thn.obs.cn-east-3.myhuaweicloud.com,Huawei Cloud,IoT Platform Provider,,User-updated,User-reviewed: treat this Huawei Cloud OBS endpoint as part of an IoT platform provider context for this endpoint group.,C0062,1,2,2
s3-us-west-2.amazonaws.com,AWS,Foundational Cloud Provider,Application-level service provider,High,AWS S3 object storage endpoint,C0021,1,3,6
s3.amazonaws.com,AWS,Foundational Cloud Provider,Application-level service provider,High,AWS S3 object storage endpoint,C0030,1,3,5
secure.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix secure/account/content service endpoint,C0015|C0018|C0023|C0024|C0031|C0041|C0054|C0057|C0058,9,4,7
securepubads.g.doubleclick.net,Google,Foundational Cloud Provider,Application-level service provider,High,Google advertising service endpoint,C0023|C0031|C0041|C0054,4,2,5
smarthome-drcn.dbankcdn.com,Huawei,IoT Platform Provider,,Medium,Huawei smart home CDN/resource endpoint,C0055,1,2,2
smarthome.hicloud.com,Huawei,IoT Platform Provider,,High,Huawei smart home/HiLink endpoint,C0055,1,2,2
softwareupdates.amazon.com,Amazon,Foundational Cloud Provider,Application-level service provider,High,Amazon software update endpoint,C0016,1,2,7
spectrum.s3.amazonaws.com,AWS,Foundational Cloud Provider,Application-level service provider,Medium,AWS S3-hosted application/resource endpoint,C0007,1,2,13
todo-ta-g7g.amazon.com,Amazon,IoT Platform Provider,,High,User-reviewed: Amazon Alexa/device service endpoint.,C0019,1,2,6
tpc.googlesyndication.com,Google,Foundational Cloud Provider,Application-level service provider,High,Google advertising/syndication endpoint,C0031|C0041|C0054,3,2,4
uiboot.netflix.com,Netflix,Foundational Cloud Provider,Content service provider,High,Netflix UI boot/config endpoint,C0015|C0018|C0023|C0024|C0031|C0041|C0054|C0057|C0058,9,4,7
